Generated by http://statistics.gov.scot,2020-12-07T13:29:45+00:00
http://statistics.gov.scot/data/age-at-first-birth,Age of First Time Mothers
Reference Period,2013/14-2015/16
Age,19 years and under
Measure (cell values): ,"Count(First Time Mothers), Ratio(Percent Of First Time Mothers)"

,,http://statistics.gov.scot/def/measure-properties/count,http://statistics.gov.scot/def/measure-properties/ratio
http://statistics.gov.scot/id/statistical-geography/S01010418,Broomhill - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01010419,Broomhill - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01008468,Broomhouse and Bankhead - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01008469,Broomhouse and Bankhead - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01008470,Broomhouse and Bankhead - 03,2,28.57
http://statistics.gov.scot/id/statistical-geography/S01008471,Broomhouse and Bankhead - 04,2,25
http://statistics.gov.scot/id/statistical-geography/S01008472,Broomhouse and Bankhead - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01013047,Broomridge - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01013048,Broomridge - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01013049,Broomridge - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01013050,Broomridge - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01013051,Broomridge - 05,4,19.05
http://statistics.gov.scot/id/statistical-geography/S01013052,Broomridge - 06,0,0
http://statistics.gov.scot/id/statistical-geography/S01013053,Broomridge - 07,3,27.27
http://statistics.gov.scot/id/statistical-geography/S01008836,Broughton North and Powderhall - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01008837,Broughton North and Powderhall - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01008838,Broughton North and Powderhall - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01008839,Broughton North and Powderhall - 04,1,4.76
http://statistics.gov.scot/id/statistical-geography/S01008840,Broughton South - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01008841,Broughton South - 02,1,20
http://statistics.gov.scot/id/statistical-geography/S01008842,Broughton South - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01008843,Broughton South - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01008844,Broughton South - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01012249,Broughton and Upper Tweed,0,0
http://statistics.gov.scot/id/statistical-geography/S01007763,Broughty Ferry East - 01,1,20
http://statistics.gov.scot/id/statistical-geography/S01007764,Broughty Ferry East - 02,1,20
http://statistics.gov.scot/id/statistical-geography/S01007765,Broughty Ferry East - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01007766,Broughty Ferry East - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01007767,Broughty Ferry East - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01007757,Broughty Ferry West - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01007758,Broughty Ferry West - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01007759,Broughty Ferry West - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01007760,Broughty Ferry West - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01007761,Broughty Ferry West - 05,1,10
http://statistics.gov.scot/id/statistical-geography/S01007762,Broughty Ferry West - 06,0,0
http://statistics.gov.scot/id/statistical-geography/S01013478,Broxburn East - 01,3,33.33
http://statistics.gov.scot/id/statistical-geography/S01013479,Broxburn East - 02,2,18.18
http://statistics.gov.scot/id/statistical-geography/S01013480,Broxburn East - 03,1,25
http://statistics.gov.scot/id/statistical-geography/S01013459,Broxburn Kirkhill - 01,4,33.33
http://statistics.gov.scot/id/statistical-geography/S01013460,Broxburn Kirkhill - 02,1,20
http://statistics.gov.scot/id/statistical-geography/S01013461,Broxburn Kirkhill - 03,1,12.5
http://statistics.gov.scot/id/statistical-geography/S01013462,Broxburn Kirkhill - 04,1,8.33
http://statistics.gov.scot/id/statistical-geography/S01013463,Broxburn Kirkhill - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01013472,Broxburn South - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01013473,Broxburn South - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01013474,Broxburn South - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01013475,Broxburn South - 04,4,66.67
http://statistics.gov.scot/id/statistical-geography/S01013476,Broxburn South - 05,2,66.67
http://statistics.gov.scot/id/statistical-geography/S01013477,Broxburn South - 06,0,0
http://statistics.gov.scot/id/statistical-geography/S01009314,Brucefield North,0,0
http://statistics.gov.scot/id/statistical-geography/S01009315,Brucefield South,0,0
http://statistics.gov.scot/id/statistical-geography/S01009313,Brucefield South West,2,13.33
http://statistics.gov.scot/id/statistical-geography/S01009312,Brucefield West,0,0
http://statistics.gov.scot/id/statistical-geography/S01008638,Bruntsfield - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01008639,Bruntsfield - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01008640,Bruntsfield - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01008641,Bruntsfield - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01008642,Bruntsfield - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01008643,Bruntsfield - 06,0,0
http://statistics.gov.scot/id/statistical-geography/S01008644,Bruntsfield - 07,0,0
http://statistics.gov.scot/id/statistical-geography/S01009624,Buckhaven Birds,3,20
http://statistics.gov.scot/id/statistical-geography/S01009621,Buckhaven Central,3,21.43
http://statistics.gov.scot/id/statistical-geography/S01009620,Buckhaven North,4,23.53
http://statistics.gov.scot/id/statistical-geography/S01009623,Buckhaven North West and Muiredge,1,20
http://statistics.gov.scot/id/statistical-geography/S01009622,Buckhaven South,5,31.25
http://statistics.gov.scot/id/statistical-geography/S01011073,Buckie Central East - 01,2,15.38
http://statistics.gov.scot/id/statistical-geography/S01011074,Buckie Central East - 02,1,12.5
http://statistics.gov.scot/id/statistical-geography/S01011075,Buckie Central East - 03,3,23.08
http://statistics.gov.scot/id/statistical-geography/S01011076,Buckie Central East - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01011077,Buckie Central East - 05,2,28.57
http://statistics.gov.scot/id/statistical-geography/S01011078,Buckie West and Mains of Buckie - 01,1,6.25
http://statistics.gov.scot/id/statistical-geography/S01011079,Buckie West and Mains of Buckie - 02,1,7.69
http://statistics.gov.scot/id/statistical-geography/S01011080,Buckie West and Mains of Buckie - 03,1,12.5
http://statistics.gov.scot/id/statistical-geography/S01011081,Buckie West and Mains of Buckie - 04,2,9.52
http://statistics.gov.scot/id/statistical-geography/S01011082,Buckie West and Mains of Buckie - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01006743,Bucksburn North - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01006744,Bucksburn North - 02,1,14.29
http://statistics.gov.scot/id/statistical-geography/S01006745,Bucksburn North - 03,1,7.14
http://statistics.gov.scot/id/statistical-geography/S01006746,Bucksburn North - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01006747,Bucksburn North - 05,1,6.25
http://statistics.gov.scot/id/statistical-geography/S01006748,Bucksburn North - 06,0,0
http://statistics.gov.scot/id/statistical-geography/S01006738,Bucksburn South - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01006739,Bucksburn South - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01006740,Bucksburn South - 03,1,6.25
http://statistics.gov.scot/id/statistical-geography/S01006741,Bucksburn South - 04,1,16.67
http://statistics.gov.scot/id/statistical-geography/S01006742,Bucksburn South - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01012848,"Burgh, Eastfield and Silverbank - 01",1,9.09
http://statistics.gov.scot/id/statistical-geography/S01012849,"Burgh, Eastfield and Silverbank - 02",0,0
http://statistics.gov.scot/id/statistical-geography/S01012850,"Burgh, Eastfield and Silverbank - 03",0,0
http://statistics.gov.scot/id/statistical-geography/S01012851,"Burgh, Eastfield and Silverbank - 04",0,0
http://statistics.gov.scot/id/statistical-geography/S01012852,"Burgh, Eastfield and Silverbank - 05",0,0
http://statistics.gov.scot/id/statistical-geography/S01012853,"Burgh, Eastfield and Silverbank - 06",0,0
http://statistics.gov.scot/id/statistical-geography/S01012854,"Burgh, Eastfield and Silverbank - 07",0,0
http://statistics.gov.scot/id/statistical-geography/S01012855,"Burgh, Eastfield and Silverbank - 08",0,0
http://statistics.gov.scot/id/statistical-geography/S01011142,"Burghead, Roseisle and Laich - 01",0,0
http://statistics.gov.scot/id/statistical-geography/S01011143,"Burghead, Roseisle and Laich - 02",1,12.5
http://statistics.gov.scot/id/statistical-geography/S01011144,"Burghead, Roseisle and Laich - 03",0,0
http://statistics.gov.scot/id/statistical-geography/S01011145,"Burghead, Roseisle and Laich - 04",0,0
http://statistics.gov.scot/id/statistical-geography/S01011146,"Burghead, Roseisle and Laich - 05",1,20
http://statistics.gov.scot/id/statistical-geography/S01011147,"Burghead, Roseisle and Laich - 06",1,16.67
http://statistics.gov.scot/id/statistical-geography/S01011899,Burghmuir and Oakbank - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01011900,Burghmuir and Oakbank - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01011901,Burghmuir and Oakbank - 03,1,10
http://statistics.gov.scot/id/statistical-geography/S01011902,Burghmuir and Oakbank - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01011903,Burghmuir and Oakbank - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01012781,Burnbank Central and Udston - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01012782,Burnbank Central and Udston - 02,2,20
http://statistics.gov.scot/id/statistical-geography/S01012783,Burnbank Central and Udston - 03,4,44.44
http://statistics.gov.scot/id/statistical-geography/S01012784,Burnbank Central and Udston - 04,2,25
http://statistics.gov.scot/id/statistical-geography/S01012785,Burnbank Central and Udston - 05,1,8.33
http://statistics.gov.scot/id/statistical-geography/S01012786,Burnbank Central and Udston - 06,2,25
http://statistics.gov.scot/id/statistical-geography/S01012787,Burnbank Central and Udston - 07,2,20
http://statistics.gov.scot/id/statistical-geography/S01012774,Burnbank North - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01012775,Burnbank North - 02,1,20
http://statistics.gov.scot/id/statistical-geography/S01012776,Burnbank North - 03,3,14.29
http://statistics.gov.scot/id/statistical-geography/S01012777,Burnbank North - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01012778,Burnbank North - 05,3,37.5
http://statistics.gov.scot/id/statistical-geography/S01012779,Burnbank North - 06,1,12.5
http://statistics.gov.scot/id/statistical-geography/S01012780,Burnbank North - 07,7,43.75
http://statistics.gov.scot/id/statistical-geography/S01012788,Burnbank South and Chantinghall - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01012789,Burnbank South and Chantinghall - 02,2,25
http://statistics.gov.scot/id/statistical-geography/S01012790,Burnbank South and Chantinghall - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01012791,Burnbank South and Chantinghall - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01012792,Burnbank South and Chantinghall - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01012865,Burnhill and Bankhead North - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01012866,Burnhill and Bankhead North - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01012867,Burnhill and Bankhead North - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01012868,Burnhill and Bankhead North - 04,1,8.33
http://statistics.gov.scot/id/statistical-geography/S01012869,Burnhill and Bankhead North - 05,3,30
http://statistics.gov.scot/id/statistical-geography/S01012882,Burnside and Springhall - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01012883,Burnside and Springhall - 02,5,35.71
http://statistics.gov.scot/id/statistical-geography/S01012884,Burnside and Springhall - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01012885,Burnside and Springhall - 04,3,33.33
http://statistics.gov.scot/id/statistical-geography/S01012886,Burnside and Springhall - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01012887,Burnside and Springhall - 06,0,0
http://statistics.gov.scot/id/statistical-geography/S01012888,Burnside and Springhall - 07,0,0
http://statistics.gov.scot/id/statistical-geography/S01009458,Burntisland Central,0,0
http://statistics.gov.scot/id/statistical-geography/S01009460,Burntisland Docks,4,25
http://statistics.gov.scot/id/statistical-geography/S01009466,Burntisland East,0,0
http://statistics.gov.scot/id/statistical-geography/S01009464,Burntisland East Toll,0,0
http://statistics.gov.scot/id/statistical-geography/S01009462,Burntisland Grange and Orrock,2,33.33
http://statistics.gov.scot/id/statistical-geography/S01009461,Burntisland Kirkton,0,0
http://statistics.gov.scot/id/statistical-geography/S01009459,Burntisland Links,1,12.5
http://statistics.gov.scot/id/statistical-geography/S01009465,Burntisland Meadowfield,2,40
http://statistics.gov.scot/id/statistical-geography/S01009463,Burntisland Nether Grange,1,20
http://statistics.gov.scot/id/statistical-geography/S01008366,Busby - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01008367,Busby - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01008368,Busby - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01008369,Busby - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01008370,Busby - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01007340,Bute - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01007341,Bute - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01007342,Bute - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01007343,Bute - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01009600,Cadham,1,16.67
http://statistics.gov.scot/id/statistical-geography/S01009601,Cadham South,1,6.67
http://statistics.gov.scot/id/statistical-geography/S01007807,Caird Park - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01007808,Caird Park - 02,5,35.71
http://statistics.gov.scot/id/statistical-geography/S01007809,Caird Park - 03,1,14.29
http://statistics.gov.scot/id/statistical-geography/S01007810,Caird Park - 04,2,22.22
http://statistics.gov.scot/id/statistical-geography/S01009284,Cairneyhill East,0,0
http://statistics.gov.scot/id/statistical-geography/S01009285,Cairneyhill North,0,0
http://statistics.gov.scot/id/statistical-geography/S01009286,Cairneyhill West,0,0
http://statistics.gov.scot/id/statistical-geography/S01011641,Cairnhill - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01011642,Cairnhill - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01011643,Cairnhill - 03,1,9.09
http://statistics.gov.scot/id/statistical-geography/S01011644,Cairnhill - 04,1,8.33
http://statistics.gov.scot/id/statistical-geography/S01011645,Cairnhill - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01011646,Cairnhill - 06,1,20
http://statistics.gov.scot/id/statistical-geography/S01011647,Cairnhill - 07,1,5
http://statistics.gov.scot/id/statistical-geography/S01009730,Cairnsmill,1,12.5
http://statistics.gov.scot/id/statistical-geography/S01010787,Caithness North East - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01010788,Caithness North East - 02,1,16.67
http://statistics.gov.scot/id/statistical-geography/S01010789,Caithness North East - 03,1,20
http://statistics.gov.scot/id/statistical-geography/S01010790,Caithness North East - 04,1,20
http://statistics.gov.scot/id/statistical-geography/S01010791,Caithness North East - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01010792,Caithness North West - 01,2,18.18
http://statistics.gov.scot/id/statistical-geography/S01010793,Caithness North West - 02,1,33.33
http://statistics.gov.scot/id/statistical-geography/S01010794,Caithness North West - 03,1,7.69
http://statistics.gov.scot/id/statistical-geography/S01010795,Caithness North West - 04,1,12.5
http://statistics.gov.scot/id/statistical-geography/S01010796,Caithness North West - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01010797,Caithness North West - 06,1,7.69
http://statistics.gov.scot/id/statistical-geography/S01010798,Caithness North West - 07,1,16.67
http://statistics.gov.scot/id/statistical-geography/S01010772,Caithness South - 01,1,25
http://statistics.gov.scot/id/statistical-geography/S01010773,Caithness South - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01010774,Caithness South - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01010775,Caithness South - 04,1,11.11
http://statistics.gov.scot/id/statistical-geography/S01011613,Calderbank and Brownsburn - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01011614,Calderbank and Brownsburn - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01011615,Calderbank and Brownsburn - 03,2,18.18
http://statistics.gov.scot/id/statistical-geography/S01011616,Calderbank and Brownsburn - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01011675,Caldercruix and Plains - 01,1,11.11
http://statistics.gov.scot/id/statistical-geography/S01011676,Caldercruix and Plains - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01011677,Caldercruix and Plains - 03,1,7.14
http://statistics.gov.scot/id/statistical-geography/S01011678,Caldercruix and Plains - 04,1,33.33
http://statistics.gov.scot/id/statistical-geography/S01011679,Caldercruix and Plains - 05,2,14.29
http://statistics.gov.scot/id/statistical-geography/S01011680,Caldercruix and Plains - 06,4,33.33
http://statistics.gov.scot/id/statistical-geography/S01011681,Caldercruix and Plains - 07,1,10
http://statistics.gov.scot/id/statistical-geography/S01011682,Caldercruix and Plains - 08,0,0
http://statistics.gov.scot/id/statistical-geography/S01012906,Calderwood Central - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01012907,Calderwood Central - 02,2,16.67
http://statistics.gov.scot/id/statistical-geography/S01012908,Calderwood Central - 03,1,8.33
http://statistics.gov.scot/id/statistical-geography/S01012909,Calderwood Central - 04,1,12.5
http://statistics.gov.scot/id/statistical-geography/S01012910,Calderwood Central - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01012901,Calderwood East - 01,1,9.09
http://statistics.gov.scot/id/statistical-geography/S01012902,Calderwood East - 02,1,10
http://statistics.gov.scot/id/statistical-geography/S01012903,Calderwood East - 03,2,14.29
http://statistics.gov.scot/id/statistical-geography/S01012904,Calderwood East - 04,3,16.67
http://statistics.gov.scot/id/statistical-geography/S01012905,Calderwood East - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01012911,Calderwood West and Nerston - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01012912,Calderwood West and Nerston - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01012913,Calderwood West and Nerston - 03,1,11.11
http://statistics.gov.scot/id/statistical-geography/S01012914,Calderwood West and Nerston - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01012915,Calderwood West and Nerston - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01013112,Callander and Trossachs - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01013113,Callander and Trossachs - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01013114,Callander and Trossachs - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01013115,Callander and Trossachs - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01013116,Callander and Trossachs - 05,1,20
http://statistics.gov.scot/id/statistical-geography/S01007601,Calside - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01007602,Calside - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01007603,Calside - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01007604,Calside - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01010037,Calton and Gallowgate - 01,1,11.11
http://statistics.gov.scot/id/statistical-geography/S01010038,Calton and Gallowgate - 02,1,5
http://statistics.gov.scot/id/statistical-geography/S01010039,Calton and Gallowgate - 03,1,5.26
http://statistics.gov.scot/id/statistical-geography/S01010040,Calton and Gallowgate - 04,1,4.76
http://statistics.gov.scot/id/statistical-geography/S01010041,Calton and Gallowgate - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01013019,Cambusbarron - 01,1,6.25
http://statistics.gov.scot/id/statistical-geography/S01013020,Cambusbarron - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01013021,Cambusbarron - 03,3,27.27
http://statistics.gov.scot/id/statistical-geography/S01013022,Cambusbarron - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01013023,Cambusbarron - 05,1,20
http://statistics.gov.scot/id/statistical-geography/S01013024,Cambusbarron - 06,0,0
http://statistics.gov.scot/id/statistical-geography/S01012843,Cambuslang Central - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01012844,Cambuslang Central - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01012845,Cambuslang Central - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01012846,Cambuslang Central - 04,1,8.33
http://statistics.gov.scot/id/statistical-geography/S01012847,Cambuslang Central - 05,2,20
http://statistics.gov.scot/id/statistical-geography/S01007333,Campbeltown - 01,1,11.11
http://statistics.gov.scot/id/statistical-geography/S01007334,Campbeltown - 02,1,12.5
http://statistics.gov.scot/id/statistical-geography/S01007335,Campbeltown - 03,2,8.7
http://statistics.gov.scot/id/statistical-geography/S01007336,Campbeltown - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01007337,Campbeltown - 05,1,16.67
http://statistics.gov.scot/id/statistical-geography/S01007338,Campbeltown - 06,1,14.29
http://statistics.gov.scot/id/statistical-geography/S01007339,Campbeltown - 07,1,25
http://statistics.gov.scot/id/statistical-geography/S01009731,Canongate,0,0
http://statistics.gov.scot/id/statistical-geography/S01008680,"Canongate, Southside and Dumbiedykes - 01",0,0
http://statistics.gov.scot/id/statistical-geography/S01008681,"Canongate, Southside and Dumbiedykes - 02",0,0
http://statistics.gov.scot/id/statistical-geography/S01008682,"Canongate, Southside and Dumbiedykes - 03",0,0
http://statistics.gov.scot/id/statistical-geography/S01008683,"Canongate, Southside and Dumbiedykes - 04",4,26.67
http://statistics.gov.scot/id/statistical-geography/S01008684,"Canongate, Southside and Dumbiedykes - 05",0,0
http://statistics.gov.scot/id/statistical-geography/S01008685,"Canongate, Southside and Dumbiedykes - 06",0,0
http://statistics.gov.scot/id/statistical-geography/S01008853,Canonmills and New Town North - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01008854,Canonmills and New Town North - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01008855,Canonmills and New Town North - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01008856,Canonmills and New Town North - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01009519,Capshard,1,11.11
http://statistics.gov.scot/id/statistical-geography/S01009438,Cardenden East,2,14.29
http://statistics.gov.scot/id/statistical-geography/S01009439,Cardenden West,1,10
http://statistics.gov.scot/id/statistical-geography/S01009810,Cardonald North - 01,2,12.5
http://statistics.gov.scot/id/statistical-geography/S01009811,Cardonald North - 02,3,21.43
http://statistics.gov.scot/id/statistical-geography/S01009812,Cardonald North - 03,1,8.33
http://statistics.gov.scot/id/statistical-geography/S01009813,Cardonald North - 04,1,10
http://statistics.gov.scot/id/statistical-geography/S01009814,Cardonald North - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01009806,Cardonald South and East - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01009807,Cardonald South and East - 02,2,14.29
http://statistics.gov.scot/id/statistical-geography/S01009808,Cardonald South and East - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01009809,Cardonald South and East - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01009815,Cardonald West and Central - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01009816,Cardonald West and Central - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01009817,Cardonald West and Central - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01009818,Cardonald West and Central - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01009819,Cardonald West and Central - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01009820,Cardonald West and Central - 06,2,16.67
http://statistics.gov.scot/id/statistical-geography/S01009821,Cardonald West and Central - 07,0,0
http://statistics.gov.scot/id/statistical-geography/S01011696,Cardowan and Millerston - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01011697,Cardowan and Millerston - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01011698,Cardowan and Millerston - 03,1,7.14
http://statistics.gov.scot/id/statistical-geography/S01011699,Cardowan and Millerston - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01011700,Cardowan and Millerston - 05,2,15.38
http://statistics.gov.scot/id/statistical-geography/S01012261,Cardrona,0,0
http://statistics.gov.scot/id/statistical-geography/S01011456,Carfin North - 01,1,12.5
http://statistics.gov.scot/id/statistical-geography/S01011457,Carfin North - 02,3,20
http://statistics.gov.scot/id/statistical-geography/S01011458,Carfin North - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01011459,Carfin North - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01011464,Carfin and Cleekhimin - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01011465,Carfin and Cleekhimin - 02,1,16.67
http://statistics.gov.scot/id/statistical-geography/S01011466,Carfin and Cleekhimin - 03,2,13.33
http://statistics.gov.scot/id/statistical-geography/S01011467,Carfin and Cleekhimin - 04,1,20
http://statistics.gov.scot/id/statistical-geography/S01011468,Carfin and Cleekhimin - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01011469,Carfin and Cleekhimin - 06,0,0
http://statistics.gov.scot/id/statistical-geography/S01011470,Carfin and Cleekhimin - 07,2,15.38
http://statistics.gov.scot/id/statistical-geography/S01012244,Carlops Romannobridge,0,0
http://statistics.gov.scot/id/statistical-geography/S01012606,Carluke East - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01012607,Carluke East - 02,1,5.26
http://statistics.gov.scot/id/statistical-geography/S01012608,Carluke East - 03,2,16.67
http://statistics.gov.scot/id/statistical-geography/S01012609,Carluke East - 04,1,11.11
http://statistics.gov.scot/id/statistical-geography/S01012610,Carluke East - 05,2,12.5
http://statistics.gov.scot/id/statistical-geography/S01012602,Carluke North - 01,3,20
http://statistics.gov.scot/id/statistical-geography/S01012603,Carluke North - 02,1,9.09
http://statistics.gov.scot/id/statistical-geography/S01012604,Carluke North - 03,3,30
http://statistics.gov.scot/id/statistical-geography/S01012605,Carluke North - 04,1,14.29
http://statistics.gov.scot/id/statistical-geography/S01012611,Carluke South - 01,1,5.26
http://statistics.gov.scot/id/statistical-geography/S01012612,Carluke South - 02,1,11.11
http://statistics.gov.scot/id/statistical-geography/S01012613,Carluke South - 03,0,0
http://statistics.gov.scot/id/statistical-geography/S01012614,Carluke South - 04,1,4.55
http://statistics.gov.scot/id/statistical-geography/S01012598,Carluke West - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01012599,Carluke West - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01012600,Carluke West - 03,1,9.09
http://statistics.gov.scot/id/statistical-geography/S01012601,Carluke West - 04,0,0
http://statistics.gov.scot/id/statistical-geography/S01013346,Carmondean and Eliburn North - 01,1,9.09
http://statistics.gov.scot/id/statistical-geography/S01013347,Carmondean and Eliburn North - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01013348,Carmondean and Eliburn North - 03,1,8.33
http://statistics.gov.scot/id/statistical-geography/S01013349,Carmondean and Eliburn North - 04,3,12
http://statistics.gov.scot/id/statistical-geography/S01013350,Carmondean and Eliburn North - 05,3,50
http://statistics.gov.scot/id/statistical-geography/S01013351,Carmondean and Eliburn North - 06,0,0
http://statistics.gov.scot/id/statistical-geography/S01013352,Carmondean and Eliburn North - 07,3,27.27
http://statistics.gov.scot/id/statistical-geography/S01013353,Carmondean and Eliburn North - 08,1,20
http://statistics.gov.scot/id/statistical-geography/S01009965,Carmunnock North - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01009966,Carmunnock North - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01009967,Carmunnock North - 03,0,0
