feature_code,year,measurement,units,value,scottish_health_survey_indicator,sex,council_name,long,lat
S12000013,2019,Percent,Percent Of Adults,67,Self-assessed general health: Very good/Good,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,54,Alcohol consumption: Moderate drinker,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,61,Alcohol consumption: Moderate drinker,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Mean,Portions of fruit & vegetables,3.1,Fruit & vegetable consumption (mean daily portions),Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,44,Long-term illness: No long-term illness,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,8,Alcohol consumption: Hazardous/Harmful drinker,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,48,Alcohol consumption: Moderate drinker,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,88,E-cigarette use: Never used,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,68,Self-assessed general health: Very good/Good,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,5,Summary activity levels: Some activity,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,9,E-cigarette use: Ever previously used,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,59,Smoking status: Never smoked/Used to smoke occasionally,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,90,E-cigarette use: Never used,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,87,E-cigarette use: Never used,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,19,Alcohol consumption: Hazardous/Harmful drinker,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,17,Any cardiovascular condition: Has a cardiovascular condition,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,25,Summary activity levels: Very low activity,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,18,Any cardiovascular condition: Has a cardiovascular condition,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,27,Overweight: Not overweight or obese,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,17,Fruit & vegetable consumption: 5 portions or more,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,10,Summary activity levels: Some activity,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,8,Summary activity levels: Some activity,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,66,General health questionnaire (GHQ-12): Score 0,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,51,Smoking status: Never smoked/Used to smoke occasionally,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,32,Life satisfaction: Mode (8),Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,74,Fruit & vegetable consumption: Less than 5 portions,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,26,Alcohol consumption: Hazardous/Harmful drinker,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,7,Fruit & vegetable consumption: None,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,61,Summary activity levels: Meets recommendations,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,73,Overweight: Overweight (including obese),Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,16,Long-term illness: Non-limiting long-term illness,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Mean,Units of alcohol,6.4,Alcohol consumption (mean weekly units),Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,55,Smoking status: Never smoked/Used to smoke occasionally,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,89,E-cigarette use: Never used,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,8,Fruit & vegetable consumption: None,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,19,Long-term illness: Non-limiting long-term illness,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,30,Alcohol consumption: Hazardous/Harmful drinker,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,44,Long-term illness: No long-term illness,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,84,Any cardiovascular condition: No cardiovascular condition,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Mean,Units of alcohol,10.4,Alcohol consumption (mean weekly units),All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,8,E-cigarette use: Ever previously used,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Mean,Portions of fruit & vegetables,3.4,Fruit & vegetable consumption (mean daily portions),Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,44,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,8,Summary activity levels: Some activity,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Mean,Units of alcohol,14.1,Alcohol consumption (mean weekly units),Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,27,Smoking status: Used to smoke regularly,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,84,"Provide any regular help or care for any sick, disabled or frail person: No",All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,11,Summary activity levels: Some activity,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,23,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,4,E-cigarette use: Currently using,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,31,Obesity: Obese,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,49,Long-term illness: No long-term illness,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,29,Smoking status: Used to smoke regularly,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,69,Obesity: Not obese,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,27,Smoking status: Used to smoke regularly,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,18,Doctor-diagnosed asthma: Yes,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,76,Fruit & vegetable consumption: Less than 5 portions,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,31,Smoking status: Used to smoke regularly,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Mean,Units of alcohol,6.4,Alcohol consumption (mean weekly units),Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,74,Obesity: Not obese,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,28,Obesity: Obese,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,83,Doctor-diagnosed asthma: No,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,21,General health questionnaire (GHQ-12): Score 1-3,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,16,Smoking status: Current smoker,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Mean,Portions of fruit & vegetables,3.2,Fruit & vegetable consumption (mean daily portions),All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,65,General health questionnaire (GHQ-12): Score 0,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,83,Doctor-diagnosed asthma: No,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,16,Long-term illness: Non-limiting long-term illness,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,22,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,23,Alcohol consumption: Non-drinker,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,6,E-cigarette use: Currently using,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,29,Smoking status: Used to smoke regularly,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,5,E-cigarette use: Currently using,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,66,Alcohol consumption: Moderate drinker,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,29,Alcohol consumption: Non-drinker,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,3,E-cigarette use: Currently using,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,71,Obesity: Not obese,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,47,Long-term illness: No long-term illness,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,26,Alcohol consumption: Non-drinker,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,6,E-cigarette use: Currently using,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,19,General health questionnaire (GHQ-12): Score 1-3,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,36,Long-term illness: Limiting long-term illness,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,73,Fruit & vegetable consumption: Less than 5 portions,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Mean,WEMWBS Score,51.5,Mental wellbeing,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,35,Long-term illness: Limiting long-term illness,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,68,General health questionnaire (GHQ-12): Score 0,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,24,Self-assessed general health: Fair,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,38,Long-term illness: Limiting long-term illness,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,73,Fruit & vegetable consumption: Less than 5 portions,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,84,"Provide any regular help or care for any sick, disabled or frail person: No",Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,2,E-cigarette use: Currently using,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,72,Fruit & vegetable consumption: Less than 5 portions,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,73,Fruit & vegetable consumption: Less than 5 portions,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,63,Summary activity levels: Meets recommendations,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Mean,Portions of fruit & vegetables,3.1,Fruit & vegetable consumption (mean daily portions),Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,14,General health questionnaire (GHQ-12): Score 4+,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Mean,WEMWBS Score,51.5,Mental wellbeing,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,85,"Provide any regular help or care for any sick, disabled or frail person: No",Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,22,Alcohol consumption: Non-drinker,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Mean,WEMWBS Score,51.4,Mental wellbeing,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,66,General health questionnaire (GHQ-12): Score 0,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,36,Long-term illness: Limiting long-term illness,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,29,Overweight: Not overweight or obese,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Mean,Units of alcohol,16.4,Alcohol consumption (mean weekly units),Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,26,Alcohol consumption: Non-drinker,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Mean,WEMWBS Score,51.5,Mental wellbeing,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,73,Summary activity levels: Meets recommendations,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,57,Summary activity levels: Meets recommendations,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,21,Alcohol consumption: Non-drinker,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,36,Long-term illness: Limiting long-term illness,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,28,Smoking status: Used to smoke regularly,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,72,Obesity: Not obese,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,36,Long-term illness: Limiting long-term illness,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,27,Overweight: Not overweight or obese,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,36,Life satisfaction: Mode (8),Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,82,Doctor-diagnosed asthma: No,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,22,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Mean,WEMWBS Score,51,Mental wellbeing,Male,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Percent,Percent Of Adults,2,Summary activity levels: Low activity,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2019,Mean,WEMWBS Score,52,Mental wellbeing,Female,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,2,Summary activity levels: Low activity,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000013,2018,Percent,Percent Of Adults,16,Long-term illness: Non-limiting long-term illness,All,Na h-Eileanan Siar,-6.65722,58.19938
S12000017,2018,Percent,Percent Of Adults,21,Summary activity levels: Very low activity,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,84,Any cardiovascular condition: No cardiovascular condition,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,10,Summary activity levels: Some activity,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,12,Alcohol consumption: Hazardous/Harmful drinker,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,60,Smoking status: Never smoked/Used to smoke occasionally,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,47,Smoking status: Never smoked/Used to smoke occasionally,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,64,Alcohol consumption: Moderate drinker,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,17,Any cardiovascular condition: Has a cardiovascular condition,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,25,Smoking status: Used to smoke regularly,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,50,Long-term illness: No long-term illness,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,7,Self-assessed general health: Bad/Very bad,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,17,Long-term illness: Non-limiting long-term illness,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,17,Any cardiovascular condition: Has a cardiovascular condition,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,27,Smoking status: Used to smoke regularly,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,10,Fruit & vegetable consumption: None,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,29,Smoking status: Used to smoke regularly,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,23,Fruit & vegetable consumption: 5 portions or more,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,61,Summary activity levels: Meets recommendations,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,7,Fruit & vegetable consumption: None,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,36,Long-term illness: Limiting long-term illness,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,66,Fruit & vegetable consumption: Less than 5 portions,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,78,Self-assessed general health: Very good/Good,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,20,Long-term illness: Non-limiting long-term illness,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,68,Summary activity levels: Meets recommendations,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,75,Self-assessed general health: Very good/Good,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,65,Summary activity levels: Meets recommendations,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,53,Smoking status: Never smoked/Used to smoke occasionally,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,25,Fruit & vegetable consumption: 5 portions or more,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,83,Any cardiovascular condition: No cardiovascular condition,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,72,Self-assessed general health: Very good/Good,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,12,Fruit & vegetable consumption: None,Male,Highland,-4.66091,57.58669
S12000017,2018,Mean,Portions of fruit & vegetables,3.1,Fruit & vegetable consumption (mean daily portions),Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,14,Long-term illness: Non-limiting long-term illness,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,67,Fruit & vegetable consumption: Less than 5 portions,All,Highland,-4.66091,57.58669
S12000017,2018,Mean,Portions of fruit & vegetables,3.6,Fruit & vegetable consumption (mean daily portions),Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,18,Alcohol consumption: Non-drinker,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,9,Summary activity levels: Some activity,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,16,Alcohol consumption: Non-drinker,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,14,Alcohol consumption: Non-drinker,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,18,Self-assessed general health: Fair,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,70,Alcohol consumption: Moderate drinker,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,5,Summary activity levels: Low activity,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,20,Alcohol consumption: Hazardous/Harmful drinker,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,25,Smoking status: Current smoker,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,83,Any cardiovascular condition: No cardiovascular condition,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,22,Fruit & vegetable consumption: 5 portions or more,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,57,Alcohol consumption: Moderate drinker,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,20,Smoking status: Current smoker,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,18,Self-assessed general health: Fair,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,19,Self-assessed general health: Fair,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,39,Long-term illness: Limiting long-term illness,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,23,Summary activity levels: Very low activity,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,42,Long-term illness: No long-term illness,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,5,Self-assessed general health: Bad/Very bad,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,29,Alcohol consumption: Hazardous/Harmful drinker,Male,Highland,-4.66091,57.58669
S12000017,2018,Mean,Portions of fruit & vegetables,3.4,Fruit & vegetable consumption (mean daily portions),All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,11,Summary activity levels: Some activity,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,16,Smoking status: Current smoker,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,46,Long-term illness: No long-term illness,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,9,Self-assessed general health: Bad/Very bad,Female,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,18,Summary activity levels: Very low activity,Male,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,37,Long-term illness: Limiting long-term illness,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,5,Summary activity levels: Low activity,All,Highland,-4.66091,57.58669
S12000017,2018,Percent,Percent Of Adults,5,Summary activity levels: Low activity,Male,Highland,-4.66091,57.58669
S12000021,2018,Percent,Percent Of Adults,31,Overweight: Not overweight or obese,Female,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,30,Summary activity levels: Very low activity,Female,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,34,Obesity: Obese,All,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,26,Summary activity levels: Very low activity,All,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,51,General health questionnaire (GHQ-12): Score 0,Female,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,10,Summary activity levels: Some activity,Male,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,69,Overweight: Overweight (including obese),Female,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,19,Alcohol consumption: Non-drinker,Male,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,28,Smoking status: Used to smoke regularly,Male,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,16,Fruit & vegetable consumption: 5 portions or more,Female,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,28,Smoking status: Used to smoke regularly,All,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,81,Any cardiovascular condition: No cardiovascular condition,Male,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,18,Smoking status: Current smoker,Female,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,71,Obesity: Not obese,Male,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,28,Smoking status: Current smoker,Male,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,22,General health questionnaire (GHQ-12): Score 4+,Female,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,39,Alcohol consumption: Moderate drinker,Male,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,60,Summary activity levels: Meets recommendations,All,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,27,Overweight: Not overweight or obese,Male,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,11,Long-term illness: Non-limiting long-term illness,All,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,20,Any cardiovascular condition: Has a cardiovascular condition,All,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,16,Alcohol consumption: Hazardous/Harmful drinker,Female,North Ayrshire,-4.72479,55.72788
S12000021,2018,Mean,Portions of fruit & vegetables,2.7,Fruit & vegetable consumption (mean daily portions),Female,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,24,Alcohol consumption: Non-drinker,All,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,48,Alcohol consumption: Moderate drinker,All,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,23,Smoking status: Current smoker,All,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,24,General health questionnaire (GHQ-12): Score 1-3,All,North Ayrshire,-4.72479,55.72788
S12000021,2018,Percent,Percent Of Adults,11,Long-term illness: Non-limiting long-term illness,Male,North Ayrshire,-4.72479,55.72788
